zone,state,lga,sector,ea,hhid,indiv,s4aq1,s4aq2,s4aq3,s4aq4,s4aq5,s4aq6,s4aq7,s4aq8,s4aq9,s4aq10,s4aq11,s4aq12,s4aq13a,s4aq13b,s4aq13c,s4aq14,s4aq15,s4aq16,s4aq17,s4aq18,s4aq19a,s4aq19b,s4aq19c,s4aq20,s4aq21,s4aq22a,s4aq22b,s4aq22,s4aq23,s4aq23_os,s4aq24,s4aq25,s4aq26,s4aq27a,s4aq27b,s4aq27c,s4aq28,s4aq29,s4aq30__1,s4aq30__2,s4aq30__3,s4aq30__4,s4aq30__5,s4aq30__6,s4aq30__7,s4aq30__8,s4aq30__96,s4aq30_os,s4aq31,s4aq32,s4aq33,s4aq33_os,s4aq34,s4aq35,s4aq36,s4aq36_os,s4aq37,s4aq37_os,s4aq38,s4aq40,s4aq40_code,s4aq41,s4aq41_code,s4aq41c,s4aq41c_os,s4aq42,s4aq43,s4aq44,s4aq45,s4aq46,s4aq47,s4aq47_tunit,s4aq48,s4aq49a,s4aq49b,s4aq50_1,s4aq50_2,s4aq50_3,s4aq50_4,s4aq50_5,s4aq50_6,s4aq51,s4aq52,s4aq52_os,s4aq53,s4aq54,s4aq55,s4aq56,s4aq57__1,s4aq57__2,s4aq57__3,s4aq57__4,s4aq57__5,s4aq57__6,s4aq57__7,s4aq57__8,s4aq57__9,s4aq57__10,s4aq57__96,s4aq57_os,s4aq58__0,s4aq58__1,s4aq58__2,s4aq58__3,s4aq58__4,s4aq58__5,s4aq58__6,s4aq58__7,s4aq58__8,s4aq58__9,s4aq58__10,s4aq58__11,s4aq58__12,s4aq58__13,s4aq58__14,s4aq58__15,s4aq58__16,s4aq58__17,s4aq58__18,s4aq58__19,s4aq58nb,s4aq59,s4aq60,s4aq61a,s4aq61b,s4aq62,s4aq63a,s4aq63b
1. North Central,26. Niger,2604. BORGU,2. RURAL,1652,269020,2,1. YES,1. YES,,1. YES,5,2. NO,,2. NO,,1. YES,,5,2. Both for sale and for household use,2. 1/4 (25 PERCENT),,1. Yes,,,,,,,,1. Yes,"3. WORKED FARM FOR MARKET, ANY WAGE, OR ANY NFE",,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,FARMER CULTIVATING  CROPS MAIZE AND GUINEACORN,6114. Mixed crop growers,FARMING  CULTIVATION OF CROPS SUCH AS MAIZE GUINEACORN,150. Mixed farming,"AGRICULTURE, FORESTRY & FISHING",,1. In own business or farming activity,3,2,5,4,65000,7. ONE HALF YEAR (6 MONTHS),2. NO,,,1,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1. YES,2,0. NO MINUTES,1. YES,1,0. NO MINUTES
1. North Central,26. Niger,2604. BORGU,2. RURAL,1652,269021,2,1. YES,1. YES,,2. NO,,2. NO,,2. NO,,2. NO,2. NO,,,,,2. No,2. NO,2. NO,,,,,,,1. NO TYPE OF WORK,2. NO,2. NO,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Engaged in HH/family responsibilities,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,2. NO,,
1. North Central,26. Niger,2604. BORGU,2. RURAL,1652,269021,3,1. YES,1. YES,,2. NO,,2. NO,,2. NO,,2. NO,2. NO,,,,,2. No,2. NO,2. NO,,,,,,,1. NO TYPE OF WORK,2. NO,2. NO,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Studying or training,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,2. NO,,
1. North Central,26. Niger,2604. BORGU,2. RURAL,1652,269021,4,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. North Central,26. Niger,2604. BORGU,2. RURAL,1652,269021,1301,1. YES,1. YES,,2. NO,,2. NO,,2. NO,,2. NO,2. NO,,,,,2. No,2. NO,2. NO,,,,,,,1. NO TYPE OF WORK,2. NO,2. NO,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Studying or training,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,2. NO,,
1. North Central,26. Niger,2604. BORGU,2. RURAL,1652,269021,1302,1. YES,1. YES,,1. YES,8,2. NO,,2. NO,,2. NO,2. NO,,,,,1. Yes,,,,,,,,,"3. WORKED FARM FOR MARKET, ANY WAGE, OR ANY NFE",,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,"FARMER  CULTIVATING CROPS ,MAIZE GUINEACORN",6114. Mixed crop growers,FARMING CULTIVATION OF CROPS SUCH AS MAIZE GUINEACORN,150. Mixed farming,"AGRICULTURE, FORESTRY & FISHING",,1. In own business or farming activity,5,4,6,8,220000,7. ONE HALF YEAR (6 MONTHS),2. NO,,,4,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,2. NO,,
1. North Central,26. Niger,2604. BORGU,2. RURAL,1652,269021,1303,1. YES,1. YES,,2. NO,,2. NO,,2. NO,,1. YES,,5,2. Both for sale and for household use,1. LESS THAN 1/4 (LESS THAN 25 PERCENT),,1. Yes,,,,,,,,1. Yes,2. FAMILY FARM ONLY,,,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Engaged in HH/family responsibilities,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,2. NO,,
1. North Central,26. Niger,2604. BORGU,2. RURAL,1652,269021,1304,1. YES,1. YES,,2. NO,,2. NO,,2. NO,,2. NO,2. NO,,,,,2. No,2. NO,2. NO,,,,,,,1. NO TYPE OF WORK,2. NO,2. NO,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Farming/livestock/fishing for HH use,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,2. NO,,
1. North Central,26. Niger,2604. BORGU,2. RURAL,1652,269021,1305,1. YES,1. YES,,2. NO,,2. NO,,2. NO,,2. NO,2. NO,,,,,2. No,2. NO,2. NO,,,,,,,1. NO TYPE OF WORK,2. NO,2. NO,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Studying or training,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,2. NO,,
1. North Central,26. Niger,2604. BORGU,2. RURAL,1652,269021,1307,1. YES,1. YES,,2. NO,,2. NO,,2. NO,,2. NO,2. NO,,,,,2. No,2. NO,2. NO,,,,,,,1. NO TYPE OF WORK,2. NO,2. NO,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Studying or training,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,2. NO,,
1. North Central,26. Niger,2604. BORGU,2. RURAL,1652,269021,1308,1. YES,1. YES,,2. NO,,2. NO,,2. NO,,2. NO,2. NO,,,,,2. No,2. NO,2. NO,,,,,,,1. NO TYPE OF WORK,2. NO,2. NO,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Studying or training,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,2. NO,,
1. North Central,26. Niger,2604. BORGU,2. RURAL,1652,269021,1309,1. YES,1. YES,,2. NO,,2. NO,,2. NO,,2. NO,2. NO,,,,,2. No,2. NO,2. NO,,,,,,,1. NO TYPE OF WORK,2. NO,2. NO,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Studying or training,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,2. NO,,
1. North Central,26. Niger,2604. BORGU,2. RURAL,1652,269021,1310,1. YES,1. YES,,2. NO,,2. NO,,2. NO,,2. NO,2. NO,,,,,2. No,2. NO,2. NO,,,,,,,1. NO TYPE OF WORK,2. NO,2. NO,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Studying or training,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,2. NO,,
1. North Central,26. Niger,2604. BORGU,2. RURAL,1652,269021,1311,1. YES,2. NO,1301,2. NO,,2. NO,,2. NO,,2. NO,2. NO,,,,,2. No,2. NO,2. NO,,,,,,,1. NO TYPE OF WORK,2. NO,2. NO,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Studying or training,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,2. NO,,
1. North Central,26. Niger,2604. BORGU,2. RURAL,1652,269021,1312,1. YES,2. NO,1302,2. NO,,2. NO,,2. NO,,2. NO,2. NO,,,,,2. No,2. NO,2. NO,,,,,,,1. NO TYPE OF WORK,2. NO,2. NO,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Studying or training,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,2. NO,,
1. North Central,26. Niger,2604. BORGU,2. RURAL,1652,269021,1313,1. YES,2. NO,1302,2. NO,,2. NO,,2. NO,,2. NO,2. NO,,,,,2. No,2. NO,2. NO,,,,,,,1. NO TYPE OF WORK,2. NO,2. NO,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Studying or training,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,2. NO,,
1. North Central,26. Niger,2604. BORGU,2. RURAL,1652,269021,1314,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. North Central,26. Niger,2604. BORGU,2. RURAL,1652,269021,1315,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. North Central,26. Niger,2604. BORGU,2. RURAL,1652,269021,1901,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. North Central,26. Niger,2604. BORGU,2. RURAL,1652,269021,1902,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. North Central,26. Niger,2604. BORGU,2. RURAL,1652,269023,1,1. YES,1. YES,,2. NO,,2. NO,,2. NO,,1. YES,,45,2. Both for sale and for household use,2. 1/4 (25 PERCENT),,1. Yes,,,,,,,,1. Yes,2. FAMILY FARM ONLY,,,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Farming/livestock/fishing for HH use,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,2. NO,,
1. North Central,26. Niger,2604. BORGU,2. RURAL,1652,269023,2,1. YES,1. YES,,2. NO,,2. NO,,2. NO,,2. NO,2. NO,,,,,2. No,2. NO,2. NO,,,,,,,1. NO TYPE OF WORK,2. NO,2. NO,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Engaged in HH/family responsibilities,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1. YES,1,45,1. YES,0. NO HOUR,45
1. North Central,26. Niger,2604. BORGU,2. RURAL,1652,269023,4,1. YES,1. YES,,2. NO,,2. NO,,2. NO,,1. YES,,35,2. Both for sale and for household use,2. 1/4 (25 PERCENT),,1. Yes,,,,,,,,1. Yes,2. FAMILY FARM ONLY,,,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Farming/livestock/fishing for HH use,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,2. NO,,
1. North Central,26. Niger,2604. BORGU,2. RURAL,1652,269023,5,1. YES,1. YES,,2. NO,,2. NO,,2. NO,,1. YES,,35,2. Both for sale and for household use,2. 1/4 (25 PERCENT),,1. Yes,,,,,,,,1. Yes,2. FAMILY FARM ONLY,,,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Farming/livestock/fishing for HH use,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,2. NO,,
1. North Central,26. Niger,2604. BORGU,2. RURAL,1652,269023,7,1. YES,1. YES,,2. NO,,2. NO,,2. NO,,1. YES,,28,2. Both for sale and for household use,2. 1/4 (25 PERCENT),,1. Yes,,,,,,,,1. Yes,2. FAMILY FARM ONLY,,,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Farming/livestock/fishing for HH use,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,2. NO,,
1. North Central,26. Niger,2604. BORGU,2. RURAL,1652,269023,8,1. YES,1. YES,,2. NO,,2. NO,,2. NO,,1. YES,,28,2. Both for sale and for household use,2. 1/4 (25 PERCENT),,1. Yes,,,,,,,,1. Yes,2. FAMILY FARM ONLY,,,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Farming/livestock/fishing for HH use,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,2. NO,,
1. North Central,26. Niger,2604. BORGU,2. RURAL,1652,269023,5101,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. North Central,26. Niger,2604. BORGU,2. RURAL,1652,269024,1,1. YES,1. YES,,2. NO,,2. NO,,2. NO,,1. YES,,55,2. Both for sale and for household use,2. 1/4 (25 PERCENT),,1. Yes,,,,,,,,1. Yes,2. FAMILY FARM ONLY,,,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Farming/livestock/fishing for HH use,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,2. NO,,
1. North Central,26. Niger,2604. BORGU,2. RURAL,1652,269024,2,1. YES,1. YES,,2. NO,,2. NO,,2. NO,,1. YES,,30,2. Both for sale and for household use,2. 1/4 (25 PERCENT),,1. Yes,,,,,,,,1. Yes,2. FAMILY FARM ONLY,,,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Farming/livestock/fishing for HH use,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1. YES,0. NO HOUR,35,1. YES,0. NO HOUR,15
1. North Central,26. Niger,2604. BORGU,2. RURAL,1652,269024,7,1. YES,1. YES,,2. NO,,2. NO,,2. NO,,2. NO,2. NO,,,,,2. No,2. NO,2. NO,,,,,,,1. NO TYPE OF WORK,2. NO,2. NO,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Studying or training,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,2. NO,,
1. North Central,26. Niger,2604. BORGU,2. RURAL,1652,269024,8,1. YES,2. NO,1,2. NO,,2. NO,,2. NO,,2. NO,2. NO,,,,,2. No,2. NO,2. NO,,,,,,,1. NO TYPE OF WORK,2. NO,2. NO,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Studying or training,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,1. YES,0. NO HOUR,10
1. North Central,26. Niger,2604. BORGU,2. RURAL,1652,269024,1602,1. YES,2. NO,1,2. NO,,2. NO,,2. NO,,2. NO,2. NO,,,,,2. No,2. NO,2. NO,,,,,,,1. NO TYPE OF WORK,2. NO,2. NO,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Studying or training,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,2. NO,,
1. North Central,26. Niger,2604. BORGU,2. RURAL,1652,269024,1603,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. North Central,26. Niger,2608. GBAKO,2. RURAL,786,269025,1,1. YES,1. YES,,2. NO,,1. YES,9,2. NO,,2. NO,2. NO,,,,,1. Yes,,,,,,,,,"3. WORKED FARM FOR MARKET, ANY WAGE, OR ANY NFE",,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,BUYING AND SELLING  DRUGS,2262. Pharmacists,"RETAILERS,BUYING AND SELLING OF DRUGS","4772. Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles in specialized stores",WHOLESALE & RETAIL TRADE,,1. In own business or farming activity,12,4,6,11,20000,8. ONE YEAR (12 MONTHS),2. NO,,,0,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,2. NO,,
1. North Central,26. Niger,2608. GBAKO,2. RURAL,786,269025,3,1. YES,1. YES,,2. NO,,2. NO,,2. NO,,1. YES,,54,2. Both for sale and for household use,3. 1/2 (50 PERCENT),2. MAINLY KEPT FOR HOUSEHOLD USE,1. Yes,,,,,,,,1. Yes,2. FAMILY FARM ONLY,,,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Engaged in HH/family responsibilities,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,2. NO,,
1. North Central,26. Niger,2608. GBAKO,2. RURAL,786,269025,5,1. YES,1. YES,,2. NO,,2. NO,,2. NO,,2. NO,2. NO,,,,,2. No,2. NO,2. NO,,,,,,,1. NO TYPE OF WORK,2. NO,2. NO,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Studying or training,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,2. NO,,
1. North Central,26. Niger,2608. GBAKO,2. RURAL,786,269025,6,1. YES,1. YES,,2. NO,,2. NO,,2. NO,,2. NO,2. NO,,,,,2. No,2. NO,2. NO,,,,,,,1. NO TYPE OF WORK,2. NO,2. NO,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Studying or training,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,2. NO,,
1. North Central,26. Niger,2608. GBAKO,2. RURAL,786,269025,101,1. YES,1. YES,,2. NO,,2. NO,,2. NO,,2. NO,2. NO,,,,,2. No,2. NO,2. NO,,,,,,,1. NO TYPE OF WORK,2. NO,2. NO,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Studying or training,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,2. NO,,
1. North Central,26. Niger,2608. GBAKO,2. RURAL,786,269025,301,1. YES,1. YES,,2. NO,,2. NO,,2. NO,,2. NO,2. NO,,,,,2. No,2. NO,2. NO,,,,,,,1. NO TYPE OF WORK,2. NO,2. NO,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Studying or training,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,1. YES,0. NO HOUR,30
1. North Central,26. Niger,2608. GBAKO,2. RURAL,786,269025,5101,1. YES,2. NO,1,2. NO,,2. NO,,2. NO,,2. NO,2. NO,,,,,2. No,2. NO,2. NO,,,,,,,1. NO TYPE OF WORK,2. NO,2. NO,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Studying or training,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,1. YES,0. NO HOUR,30
1. North Central,26. Niger,2608. GBAKO,2. RURAL,786,269026,1,1. YES,1. YES,,2. NO,,2. NO,,2. NO,,1. YES,,30,2. Both for sale and for household use,4. 3/4 (75 PERCENT),,1. Yes,,,,,,,,2. No,"3. WORKED FARM FOR MARKET, ANY WAGE, OR ANY NFE",,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,"FARMER,MAIZE MILLET,RICE ,SUGARCANE",6114. Mixed crop growers,"FARMING OF MAIZE AND MILLET, RICE, SUGARCANE",150. Mixed farming,"AGRICULTURE, FORESTRY & FISHING",,1. In own business or farming activity,5,4,5,6,150000,8. ONE YEAR (12 MONTHS),2. NO,,,0,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,2. NO,,
1. North Central,26. Niger,2608. GBAKO,2. RURAL,786,269026,2,1. YES,1. YES,,2. NO,,2. NO,,2. NO,,2. NO,1. YES,54,2. Both for sale and for household use,4. 3/4 (75 PERCENT),,1. Yes,,,,,,,,2. No,"3. WORKED FARM FOR MARKET, ANY WAGE, OR ANY NFE",,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,"FARMER. MAIZE AND MILLET, RICE AND SUGARCANE",6114. Mixed crop growers,FARMING OF MAIZE AND MILLET RICE AND SUGARCANE,150. Mixed farming,"AGRICULTURE, FORESTRY & FISHING",,2. In a business or farm operated by a household or family member,5,4,6,9,150000,8. ONE YEAR (12 MONTHS),2. NO,,,0,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,2. NO,,
1. North Central,26. Niger,2608. GBAKO,2. RURAL,786,269026,3,1. YES,1. YES,,2. NO,,2. NO,,2. NO,,2. NO,1. YES,42,2. Both for sale and for household use,4. 3/4 (75 PERCENT),,1. Yes,,,,,,,,2. No,"3. WORKED FARM FOR MARKET, ANY WAGE, OR ANY NFE",,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,"FARMER, MAIZE AND MILLET, RICE, SUGARCANE",6114. Mixed crop growers,FARMING OF MAIZE AND MILLET RICE AND SUGARCANE,150. Mixed farming,"AGRICULTURE, FORESTRY & FISHING",,2. In a business or farm operated by a household or family member,5,4,6,7,150000,8. ONE YEAR (12 MONTHS),2. NO,,,0,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,2. NO,,
1. North Central,26. Niger,2608. GBAKO,2. RURAL,786,269026,4,1. YES,1. YES,,2. NO,,2. NO,,2. NO,,2. NO,1. YES,6,2. Both for sale and for household use,3. 1/2 (50 PERCENT),2. MAINLY KEPT FOR HOUSEHOLD USE,1. Yes,,,,,,,,1. Yes,2. FAMILY FARM ONLY,,,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Farming/livestock/fishing for HH use,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,1. YES,0. NO HOUR,30
1. North Central,26. Niger,2608. GBAKO,2. RURAL,786,269026,5,1. YES,1. YES,,2. NO,,2. NO,,2. NO,,2. NO,1. YES,36,2. Both for sale and for household use,5. MORE THAN 3/4 (MORE THAN 75 PERCENT),,1. Yes,,,,,,,,2. No,"3. WORKED FARM FOR MARKET, ANY WAGE, OR ANY NFE",,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,"FARMER,MAIZE AND MILLET RICE AND SUGARCANE",6114. Mixed crop growers,FARMING OF MAIZE AND MILLET RICE AND SUGARCANE,150. Mixed farming,"AGRICULTURE, FORESTRY & FISHING",,2. In a business or farm operated by a household or family member,5,4,6,6,150000,8. ONE YEAR (12 MONTHS),2. NO,,,0,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,2. NO,,
1. North Central,26. Niger,2608. GBAKO,2. RURAL,786,269026,6,1. YES,1. YES,,2. NO,,2. NO,,2. NO,,2. NO,1. YES,15,2. Both for sale and for household use,3. 1/2 (50 PERCENT),2. MAINLY KEPT FOR HOUSEHOLD USE,1. Yes,,,,,,,,1. Yes,2. FAMILY FARM ONLY,,,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Farming/livestock/fishing for HH use,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,2. NO,,
1. North Central,26. Niger,2608. GBAKO,2. RURAL,786,269026,7,1. YES,1. YES,,2. NO,,2. NO,,2. NO,,2. NO,1. YES,24,2. Both for sale and for household use,3. 1/2 (50 PERCENT),2. MAINLY KEPT FOR HOUSEHOLD USE,1. Yes,,,,,,,,1. Yes,2. FAMILY FARM ONLY,,,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Farming/livestock/fishing for HH use,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,1. YES,1,0. NO MINUTES
