zone,state,lga,sector,ea,hhid,cluster,strata,wt_wave5,wt_longpanel_wave5,wt_cross_wave5,interview_result,old_new,trackedw4,trackedw5pp,hh_located,hh_moved,hh_able_toint,rspavl,consent,InterviewStart,ag1,ag1a,ag1b__1,ag1b__2,ag1b__3,ag1b__4,ag1b__5,ag1c_1,ag1c_2,ag1c_3,ag1c_os,ag2,ag3,ag4
6. South West,27. Ogun,2703. ADOODO OTA,1. URBAN,1076,270095,2703-1076,6,4172.3681640625,26989.201171875,14346.004659514181,1. COMPLETE,1. Old Panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-18T11:31:28,2. NO,2. NO,,,,,,16. THE HOUSEHOLD HAS NEVER BEEN ENGAGED IN AGRICULTURAL ACTIVITIES,,,,1. YES,2. NO,2. NO
6. South West,27. Ogun,2703. ADOODO OTA,1. URBAN,1076,270096,2703-1076,6,3372.884521484375,54458.203125,10176.895086226192,1. COMPLETE,1. Old Panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-18T12:37:41,1. YES,2. NO,,,,,,,,,,1. YES,2. NO,2. NO
6. South West,27. Ogun,2703. ADOODO OTA,1. URBAN,1076,270097,2703-1076,6,4172.3681640625,31446.4453125,11609.102514414495,1. COMPLETE,1. Old Panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-18T11:52:07,2. NO,2. NO,,,,,,16. THE HOUSEHOLD HAS NEVER BEEN ENGAGED IN AGRICULTURAL ACTIVITIES,,,,1. YES,2. NO,2. NO
6. South West,24. Lagos,2401. AGEGE,1. URBAN,0,270098,2703-1076,6,,,,1. COMPLETE,1. Old Panel household,1. YES,1. YES,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-10-11T07:34:21,2. NO,2. NO,,,,,,16. THE HOUSEHOLD HAS NEVER BEEN ENGAGED IN AGRICULTURAL ACTIVITIES,,,,2. NO,2. NO,2. NO
5. South South,10. Delta,1014. OSHIMILI NORTH,1. URBAN,0,270099,2703-1076,6,3230.7421875,33330.78125,12138.403117369657,1. COMPLETE,1. Old Panel household,1. YES,2. NO,1. YES,"1. YES, MOVED CLOSE TO ORIGINAL DWELLING",1. YES,1. YES,1. YES,2023-08-26T10:42:07,2. NO,2. NO,,,,,,1. NO LONGER OWN LAND,,,,2. NO,2. NO,2. NO
6. South West,27. Ogun,2703. ADOODO OTA,1. URBAN,1076,270100,2703-1076,6,3372.884521484375,66154.765625,14304.353515515872,1. COMPLETE,1. Old Panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-18T09:18:12,2. NO,2. NO,,,,,,16. THE HOUSEHOLD HAS NEVER BEEN ENGAGED IN AGRICULTURAL ACTIVITIES,,,,1. YES,2. NO,2. NO
6. South West,27. Ogun,2705. YEWA SOUTH,2. RURAL,568,279001,2705-568,6,4785.07861328125,,5315.378510415656,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-19T15:07:57,2. NO,2. NO,,,,,,16. THE HOUSEHOLD HAS NEVER BEEN ENGAGED IN AGRICULTURAL ACTIVITIES,,,,1. YES,2. NO,2. NO
6. South West,27. Ogun,2705. YEWA SOUTH,2. RURAL,568,279002,2705-568,6,5783.31396484375,,5295.844067334935,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-19T09:57:42,2. NO,1. YES,2. NO,1. YES,1. YES,1. YES,1. YES,6. NOT ENOUGH TIME/LABOR/HELP TO CULTIVATE,,,,1. YES,1. YES,2. NO
6. South West,27. Ogun,2705. YEWA SOUTH,2. RURAL,568,279004,2705-568,6,4785.07861328125,,4676.812016201102,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"1. YES, MOVED CLOSE TO ORIGINAL DWELLING",1. YES,1. YES,1. YES,2023-08-19T13:07:31,2. NO,1. YES,2. NO,1. YES,1. YES,1. YES,1. YES,1. NO LONGER OWN LAND,,,,1. YES,2. NO,2. NO
6. South West,27. Ogun,2705. YEWA SOUTH,2. RURAL,568,279005,2705-568,6,4785.07861328125,,7722.6308657553145,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-19T15:55:06,2. NO,2. NO,,,,,,13. SWITCHED TO OTHER INCOME GENERATING ACTIVITIES,,,,1. YES,1. YES,2. NO
6. South West,27. Ogun,2705. YEWA SOUTH,2. RURAL,568,279006,2705-568,6,4785.07861328125,,7618.983012184375,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-19T10:08:27,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,1. YES,2. NO,2. NO
6. South West,27. Ogun,2705. YEWA SOUTH,2. RURAL,568,279007,2705-568,6,5783.31396484375,,6520.036556459225,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-19T13:15:55,2. NO,2. NO,,,,,,1. NO LONGER OWN LAND,,,,1. YES,2. NO,2. NO
6. South West,27. Ogun,2705. YEWA SOUTH,2. RURAL,568,279008,2705-568,6,4313.85693359375,,4494.753011584015,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-19T11:17:32,1. YES,2. NO,,,,,,,,,,1. YES,2. NO,2. NO
6. South West,27. Ogun,2705. YEWA SOUTH,2. RURAL,568,279009,2705-568,6,4675.15087890625,,5736.747675366292,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-19T13:03:43,2. NO,2. NO,,,,,,16. THE HOUSEHOLD HAS NEVER BEEN ENGAGED IN AGRICULTURAL ACTIVITIES,,,,1. YES,2. NO,2. NO
6. South West,27. Ogun,2705. YEWA SOUTH,2. RURAL,568,279010,2705-568,6,5783.31396484375,,5717.389164095212,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-19T12:47:16,1. YES,2. NO,,,,,,,,,,1. YES,2. NO,2. NO
6. South West,27. Ogun,2705. YEWA SOUTH,2. RURAL,568,279011,2705-568,6,4675.15087890625,,5678.746647134385,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-19T09:59:46,2. NO,2. NO,,,,,,16. THE HOUSEHOLD HAS NEVER BEEN ENGAGED IN AGRICULTURAL ACTIVITIES,,,,1. YES,2. NO,2. NO
6. South West,27. Ogun,2706. EWEKORO,2. RURAL,362,279013,2706-362,6,,,,4. UNABLE TO IDENTIFY HOUSEHOLD,2. New panel household,2. NO,1. YES,2. NO,,,,,,,,,,,,,,,,,,,
6. South West,27. Ogun,2706. EWEKORO,2. RURAL,362,279015,2706-362,6,8830.5458984375,,9618.80486100418,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-22T20:54:17,2. NO,2. NO,,,,,,16. THE HOUSEHOLD HAS NEVER BEEN ENGAGED IN AGRICULTURAL ACTIVITIES,,,,1. YES,2. NO,2. NO
6. South West,27. Ogun,2706. EWEKORO,2. RURAL,362,279016,2706-362,6,8627.6806640625,,7815.207278992219,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-23T13:03:26,1. YES,2. NO,,,,,,,,,,1. YES,2. NO,2. NO
6. South West,27. Ogun,2706. EWEKORO,2. RURAL,362,279017,2706-362,6,7960.9365234375,,11163.428492973755,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-23T11:24:12,1. YES,2. NO,,,,,,,,,,1. YES,2. NO,2. NO
6. South West,27. Ogun,2706. EWEKORO,2. RURAL,0,279018,2706-362,6,7947.7099609375,,7719.623855782136,1. COMPLETE,2. New panel household,1. YES,1. YES,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-10-13T10:48:32,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,1. YES,2. NO,2. NO
6. South West,27. Ogun,2706. EWEKORO,2. RURAL,362,279019,2706-362,6,8627.6806640625,,7142.4203644785275,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-23T11:23:19,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,1. YES,1. YES,2. NO
6. South West,27. Ogun,2706. EWEKORO,2. RURAL,362,279022,2706-362,6,8264.087890625,,7709.922821549759,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-23T13:20:23,2. NO,1. YES,2. NO,2. NO,1. YES,1. YES,1. YES,6. NOT ENOUGH TIME/LABOR/HELP TO CULTIVATE,13. SWITCHED TO OTHER INCOME GENERATING ACTIVITIES,,,1. YES,1. YES,2. NO
6. South West,27. Ogun,2706. EWEKORO,2. RURAL,362,279023,2706-362,6,8264.087890625,,9256.690577176269,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-23T14:06:53,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,1. YES,1. YES,2. NO
6. South West,27. Ogun,2706. EWEKORO,2. RURAL,362,279024,2706-362,6,7865.59326171875,,9154.73543161676,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-23T11:05:41,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,1. YES,2. NO,2. NO
6. South West,27. Ogun,2711. IJEBU ODE,2. RURAL,1218,279025,2711-1218,6,6905.326171875,,7375.635324523061,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-03T11:39:01,2. NO,1. YES,2. NO,2. NO,2. NO,2. NO,1. YES,96. OTHER (SPECIFY),,,OLD AGE,1. YES,2. NO,2. NO
6. South West,27. Ogun,2711. IJEBU ODE,2. RURAL,1218,279027,2711-1218,6,,,,8. ALL HH MEMBERS DECEASED,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,2. NO,,,,,,,,,,,,,,,,
6. South West,24. Lagos,2419. SHOMOLU,1. URBAN,0,279028,2711-1218,6,8345.875,,9221.210334675143,1. COMPLETE,2. New panel household,1. YES,1. YES,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-10-16T09:16:43,2. NO,2. NO,,,,,,16. THE HOUSEHOLD HAS NEVER BEEN ENGAGED IN AGRICULTURAL ACTIVITIES,,,,2. NO,2. NO,2. NO
6. South West,27. Ogun,2711. IJEBU ODE,2. RURAL,1218,279029,2711-1218,6,6348.07421875,,8768.254813230758,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-03T09:18:25,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,1. YES,1. YES,2. NO
6. South West,27. Ogun,2711. IJEBU ODE,1. URBAN,0,279030,2711-1218,6,,,7252.034673072682,1. COMPLETE,2. New panel household,1. YES,1. YES,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-10-16T13:39:09,2. NO,2. NO,,,,,,16. THE HOUSEHOLD HAS NEVER BEEN ENGAGED IN AGRICULTURAL ACTIVITIES,,,,1. YES,2. NO,2. NO
6. South West,24. Lagos,2411. IKEJA,2. RURAL,0,279031,2711-1218,6,6462.36669921875,,5336.489280355543,1. COMPLETE,2. New panel household,1. YES,1. YES,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-10-14T10:34:43,2. NO,2. NO,,,,,,16. THE HOUSEHOLD HAS NEVER BEEN ENGAGED IN AGRICULTURAL ACTIVITIES,,,,2. NO,2. NO,2. NO
6. South West,27. Ogun,2711. IJEBU ODE,2. RURAL,1218,279032,2711-1218,6,6348.07421875,,7616.052155725762,1. COMPLETE,2. New panel household,2. NO,1. YES,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-10-16T13:11:50,1. YES,2. NO,,,,,,,,,,1. YES,2. NO,2. NO
6. South West,24. Lagos,2411. IKEJA,2. RURAL,0,279034,2711-1218,6,6214.96484375,,6333.783876292704,1. COMPLETE,2. New panel household,2. NO,1. YES,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-10-16T12:36:12,1. YES,2. NO,,,,,,,,,,1. YES,2. NO,2. NO
6. South West,27. Ogun,2711. IJEBU ODE,2. RURAL,1218,279036,2711-1218,6,6905.326171875,,6740.6895119952105,1. COMPLETE,2. New panel household,2. NO,1. YES,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-10-16T13:42:28,1. YES,2. NO,,,,,,,,,,1. YES,2. NO,2. NO
6. South West,27. Ogun,2712. IKENNE,2. RURAL,172,279037,2712-172,6,750.56475830078125,,3522.6270277275175,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-08T11:46:54,2. NO,2. NO,,,,,,16. THE HOUSEHOLD HAS NEVER BEEN ENGAGED IN AGRICULTURAL ACTIVITIES,,,,1. YES,2. NO,2. NO
6. South West,27. Ogun,2712. IKENNE,2. RURAL,172,279038,2712-172,6,750.56475830078125,,7273.933102629021,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-08T16:30:03,2. NO,2. NO,,,,,,5. LAND LEFT FALLOW,,,,1. YES,2. NO,2. NO
6. South West,27. Ogun,2712. IKENNE,2. RURAL,172,279040,2712-172,6,750.56475830078125,,3496.7720346823294,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-09T12:50:40,2. NO,1. YES,2. NO,2. NO,2. NO,2. NO,1. YES,96. OTHER (SPECIFY),,,OLA AGE,1. YES,2. NO,2. NO
6. South West,27. Ogun,2712. IKENNE,2. RURAL,172,279042,2712-172,6,581.17626953125,,5901.058207953361,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-08T13:44:36,2. NO,2. NO,,,,,,16. THE HOUSEHOLD HAS NEVER BEEN ENGAGED IN AGRICULTURAL ACTIVITIES,,,,1. YES,2. NO,2. NO
6. South West,27. Ogun,2712. IKENNE,2. RURAL,172,279043,2712-172,6,559.85693359375,,3641.5491036844614,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-08T12:18:32,2. NO,1. YES,2. NO,2. NO,2. NO,2. NO,1. YES,96. OTHER (SPECIFY),,,OLD AGE,1. YES,2. NO,2. NO
6. South West,27. Ogun,2712. IKENNE,2. RURAL,172,279044,2712-172,6,559.85693359375,,3357.099527501919,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-08T15:35:52,2. NO,2. NO,,,,,,16. THE HOUSEHOLD HAS NEVER BEEN ENGAGED IN AGRICULTURAL ACTIVITIES,,,,1. YES,2. NO,2. NO
6. South West,27. Ogun,2712. IKENNE,2. RURAL,172,279045,2712-172,6,621.0126953125,,4516.274348681525,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-08T14:34:46,1. YES,1. YES,2. NO,2. NO,2. NO,2. NO,1. YES,,,,,1. YES,2. NO,2. NO
6. South West,27. Ogun,2712. IKENNE,2. RURAL,172,279047,2712-172,6,750.56475830078125,,5162.807474381963,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-09T07:32:46,2. NO,2. NO,,,,,,16. THE HOUSEHOLD HAS NEVER BEEN ENGAGED IN AGRICULTURAL ACTIVITIES,,,,1. YES,1. YES,2. NO
6. South West,27. Ogun,2712. IKENNE,2. RURAL,172,279048,2712-172,6,559.85693359375,,4186.208044280549,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-09T07:24:16,2. NO,2. NO,,,,,,13. SWITCHED TO OTHER INCOME GENERATING ACTIVITIES,16. THE HOUSEHOLD HAS NEVER BEEN ENGAGED IN AGRICULTURAL ACTIVITIES,,,1. YES,2. NO,2. NO
6. South West,27. Ogun,2712. IKENNE,2. RURAL,356,279049,2712-356,6,2126.599609375,,12677.534962293435,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-10T11:32:27,2. NO,2. NO,,,,,,13. SWITCHED TO OTHER INCOME GENERATING ACTIVITIES,,,,1. YES,2. NO,2. NO
6. South West,27. Ogun,2712. IKENNE,2. RURAL,356,279051,2712-356,6,1719.113525390625,,11375.015017935757,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"1. YES, MOVED CLOSE TO ORIGINAL DWELLING",1. YES,1. YES,1. YES,2023-08-10T15:18:27,2. NO,2. NO,,,,,,16. THE HOUSEHOLD HAS NEVER BEEN ENGAGED IN AGRICULTURAL ACTIVITIES,,,,1. YES,2. NO,2. NO
6. South West,27. Ogun,2712. IKENNE,2. RURAL,356,279052,2712-356,6,1759.5355224609375,,11854.186821990723,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-10T10:39:10,2. NO,2. NO,,,,,,16. THE HOUSEHOLD HAS NEVER BEEN ENGAGED IN AGRICULTURAL ACTIVITIES,,,,1. YES,2. NO,2. NO
6. South West,27. Ogun,2712. IKENNE,2. RURAL,356,279053,2712-356,6,1583.6256103515625,,9854.378680218702,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-10T11:08:18,2. NO,1. YES,2. NO,1. YES,2. NO,2. NO,2. NO,6. NOT ENOUGH TIME/LABOR/HELP TO CULTIVATE,,,,1. YES,2. NO,2. NO
6. South West,27. Ogun,2712. IKENNE,2. RURAL,356,279054,2712-356,6,1617.5430908203125,,11785.566305836284,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-10T14:46:42,1. YES,1. YES,1. YES,2. NO,2. NO,2. NO,2. NO,,,,,1. YES,2. NO,2. NO
6. South West,27. Ogun,2712. IKENNE,2. RURAL,356,279056,2712-356,6,1646.66552734375,,18118.437338204967,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"1. YES, MOVED CLOSE TO ORIGINAL DWELLING",1. YES,1. YES,1. YES,2023-08-10T12:43:33,2. NO,2. NO,,,,,,5. LAND LEFT FALLOW,7. COST OF INPUTS TOO HIGH,,,1. YES,2. NO,2. NO
6. South West,27. Ogun,2712. IKENNE,2. RURAL,356,279057,2712-356,6,1617.5430908203125,,7894.9885424838485,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-10T09:21:05,2. NO,2. NO,,,,,,16. THE HOUSEHOLD HAS NEVER BEEN ENGAGED IN AGRICULTURAL ACTIVITIES,,,,1. YES,2. NO,2. NO
6. South West,27. Ogun,2712. IKENNE,2. RURAL,356,279058,2712-356,6,2126.599609375,,9946.242679249559,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-10T09:04:49,2. NO,2. NO,,,,,,96. OTHER (SPECIFY),,,OLD AGE,1. YES,2. NO,2. NO
6. South West,24. Lagos,2420. SURULERE (LAGOS),2. RURAL,0,279059,2712-356,6,1719.113525390625,,5789.148702148715,1. COMPLETE,2. New panel household,2. NO,1. YES,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-10-13T10:39:01,2. NO,2. NO,,,,,,16. THE HOUSEHOLD HAS NEVER BEEN ENGAGED IN AGRICULTURAL ACTIVITIES,,,,2. NO,2. NO,2. NO
6. South West,27. Ogun,2712. IKENNE,2. RURAL,356,279060,2712-356,6,1759.5355224609375,,12291.117229585254,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"1. YES, MOVED CLOSE TO ORIGINAL DWELLING",1. YES,1. YES,1. YES,2023-08-10T15:24:14,2. NO,2. NO,,,,,,96. OTHER (SPECIFY),,,OLD AGE,1. YES,2. NO,2. NO
6. South West,27. Ogun,2715. OBAFEMI OWE,2. RURAL,864,279061,2715-864,6,33699.8515625,,42981.57139391689,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-12T09:42:02,2. NO,2. NO,,,,,,16. THE HOUSEHOLD HAS NEVER BEEN ENGAGED IN AGRICULTURAL ACTIVITIES,,,,1. YES,2. NO,2. NO
6. South West,27. Ogun,2715. OBAFEMI OWE,2. RURAL,864,279065,2715-864,6,42513.6953125,,39812.52867039277,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-11T16:00:11,2. NO,2. NO,,,,,,6. NOT ENOUGH TIME/LABOR/HELP TO CULTIVATE,7. COST OF INPUTS TOO HIGH,,,1. YES,2. NO,2. NO
6. South West,28. Ondo,2813. ODIGBO,2. RURAL,0,279066,2715-864,6,,,,1. COMPLETE,2. New panel household,2. NO,1. YES,1. YES,"1. YES, MOVED CLOSE TO ORIGINAL DWELLING",1. YES,1. YES,1. YES,2023-10-16T10:20:13,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,1. YES,1. YES,2. NO
6. South West,27. Ogun,2715. OBAFEMI OWE,2. RURAL,864,279067,2715-864,6,,,37825.963425147755,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-11T15:22:59,2. NO,2. NO,,,,,,16. THE HOUSEHOLD HAS NEVER BEEN ENGAGED IN AGRICULTURAL ACTIVITIES,,,,1. YES,2. NO,2. NO
6. South West,27. Ogun,2715. OBAFEMI OWE,2. RURAL,864,279068,2715-864,6,32409.705078125,,59582.50630265791,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-11T15:44:24,2. NO,2. NO,,,,,,6. NOT ENOUGH TIME/LABOR/HELP TO CULTIVATE,,,,1. YES,2. NO,2. NO
6. South West,27. Ogun,2715. OBAFEMI OWE,2. RURAL,864,279069,2715-864,6,42513.6953125,,42546.10551304935,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-11T17:31:02,2. NO,2. NO,,,,,,16. THE HOUSEHOLD HAS NEVER BEEN ENGAGED IN AGRICULTURAL ACTIVITIES,,,,1. YES,1. YES,2. NO
6. South West,27. Ogun,2715. OBAFEMI OWE,2. RURAL,864,279070,2715-864,6,,,,5. HOUSEHOLD HAS MOVED AWAY,2. New panel household,2. NO,1. YES,2. NO,,,,,,,,,,,,,,,,,,,
6. South West,27. Ogun,2715. OBAFEMI OWE,2. RURAL,864,279072,2715-864,6,,,,6. UNAVAILABLE FOR INTERVIEW,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,2. NO,,,,,,,,,,,,,,,,
6. South West,27. Ogun,2716. ODEDA,2. RURAL,44,279073,2716-44,6,869.66119384765625,,6665.451108214228,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-24T13:00:28,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,1. YES,2. NO,2. NO
6. South West,27. Ogun,2716. ODEDA,2. RURAL,44,279074,2716-44,6,1075.7991943359375,,6174.433918025753,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-24T12:29:30,1. YES,2. NO,,,,,,,,,,1. YES,2. NO,2. NO
6. South West,27. Ogun,2716. ODEDA,2. RURAL,44,279076,2716-44,6,,,,8. ALL HH MEMBERS DECEASED,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,2. NO,,,,,,,,,,,,,,,,
6. South West,27. Ogun,2716. ODEDA,2. RURAL,44,279078,2716-44,6,869.66119384765625,,7181.352317403033,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-24T12:57:38,2. NO,2. NO,,,,,,16. THE HOUSEHOLD HAS NEVER BEEN ENGAGED IN AGRICULTURAL ACTIVITIES,,,,1. YES,2. NO,2. NO
6. South West,27. Ogun,2716. ODEDA,2. RURAL,44,279080,2716-44,6,1075.7991943359375,,6153.598445496973,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-25T13:36:28,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,1. YES,1. YES,2. NO
6. South West,27. Ogun,2716. ODEDA,2. RURAL,44,279081,2716-44,6,802.4541015625,,3950.720194934081,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-24T16:21:25,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,1. YES,1. YES,2. NO
6. South West,27. Ogun,2716. ODEDA,2. RURAL,44,279082,2716-44,6,801.120849609375,,4748.807429996832,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-25T16:31:32,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,1. YES,1. YES,2. NO
6. South West,27. Ogun,2716. ODEDA,2. RURAL,44,279083,2716-44,6,792.84356689453125,,4748.807429996832,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-24T15:27:45,1. YES,2. NO,,,,,,,,,,1. YES,2. NO,2. NO
6. South West,27. Ogun,2701. ABEOKUTA NORTH,2. RURAL,0,279084,2716-44,6,801.120849609375,,4786.827240811831,1. COMPLETE,2. New panel household,2. NO,1. YES,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-10-12T09:42:39,2. NO,2. NO,,,,,,1. NO LONGER OWN LAND,6. NOT ENOUGH TIME/LABOR/HELP TO CULTIVATE,14. LAND DISPUTE,,1. YES,2. NO,2. NO
